name,group,pool,mu_delta,sd_delta,b_shift0,noise,t1,t2,boost,pass_rate,pct_reduction_true,n_inc_task1,n_inc_task2,fail_counts,best_model,dz_true,neff_N100,neff_N130,neff_N150,neff_N200,sdmeas_weight_0,recov_weight_0,sdmeas_weight_90,recov_weight_90,mean_d_weight,sd_d_weight,dz_obs_weight,power_weight_N100,power_weight_N130,power_weight_N150,power_weight_N200,power_emp_weight_N150,mde_logwd_weight_N150,mde_pct_weight_N150,sdmeas_both_0,recov_both_0,sdmeas_both_90,recov_both_90,mean_d_both,sd_d_both,dz_obs_both,power_both_N100,power_both_N130,power_both_N150,power_both_N200,power_emp_both_N150,mde_logwd_both_N150,mde_pct_both_N150
A_mu+0.00,"A  effect size  (sd_delta=0.30, b~N(.4,.3), split 30/60, noise 1.2)",600,0.0,0.3,0.0,1.2,30,60,1.2,0.9766666666666667,0.0,8.672849915682969,16.893760539629007,"{'': 1186, 'too_few_trials': 14}","{'null': 0.32, 'choice': 0.29, 'weight': 0.28, 'both': 0.11}",0.07456099347814249,85,110,127,170,0.6028077881416988,0.6807339364767393,0.5801070285068701,0.5982754101494345,0.008140681276164918,0.8197742689348158,0.009930393749419113,0.05093897722059221,0.05122175841268431,0.051414103314623705,0.0519008187733806,0.032,0.20536582039197104,18.565064368593053,0.5811706500108555,0.6453389580518089,0.5695599116409139,0.5190700124375286,-0.04945531092711264,0.8727397476498276,-0.056666733766038764,0.08107850839290863,0.09060995265649868,0.09713110815236631,0.11375238899527645,0.07,0.2186344717768156,19.638459141329022
A_mu-0.10,"A  effect size  (sd_delta=0.30, b~N(.4,.3), split 30/60, noise 1.2)",600,-0.1,0.3,0.0,1.2,30,60,1.2,0.9716666666666667,9.51625819640405,8.578191039729502,16.82671174978867,"{'': 1183, 'too_few_trials': 17}","{'null': 0.3, 'choice': 0.29, 'weight': 0.28, 'both': 0.12}",-0.30193995648523025,85,110,127,169,0.5877693687427082,0.709679412982262,0.5802225458021901,0.536761975508558,-0.14733695592264226,0.7986962220633174,-0.1844718327852088,0.390388027894048,0.48319641053631457,0.5410740540614997,0.6643854178914426,0.5525,0.2000854516952928,18.13392058637593,0.5589457666637947,0.6458644706976646,0.5728482707289096,0.4881286296404587,-0.08710448728773774,0.8818000409752931,-0.09878031667065697,0.14677127597951373,0.17680424766301378,0.1972989682929809,0.24785891426479867,0.1635,0.22090421192637386,19.82065211352707
A_mu-0.20,"A  effect size  (sd_delta=0.30, b~N(.4,.3), split 30/60, noise 1.2)",600,-0.2,0.3,0.0,1.2,30,60,1.2,0.97,18.12692469220182,8.546531302876481,16.89424703891709,"{'': 1182, 'too_few_trials': 18}","{'null': 0.3, 'choice': 0.29, 'weight': 0.29, 'both': 0.12}",-0.6550268878138444,84,110,127,169,0.6494066519020606,0.6874114171663968,0.6243192094212817,0.5450640392999444,-0.30659349310760603,0.8513462124856559,-0.3601278640947401,0.9035823523189814,0.9627561523257717,0.9806494228912105,0.9964782448621948,0.99,0.2132750685037861,19.206613051217413,0.5703684536030939,0.6235378365780478,0.6123347290131906,0.41699496444986606,-0.20646758605422194,0.9154155839854261,-0.22554519462660688,0.5332012396270166,0.6497752988090341,0.7130773021197335,0.8302932201008276,0.7365,0.22932541252976396,20.493023425956746
A_mu-0.30,"A  effect size  (sd_delta=0.30, b~N(.4,.3), split 30/60, noise 1.2)",600,-0.3,0.3,0.0,1.2,30,60,1.2,0.9566666666666667,25.91817793182821,8.53833049403748,16.903747870528107,"{'': 1174, 'too_few_trials': 26}","{'weight': 0.31, 'choice': 0.31, 'null': 0.25, 'both': 0.13}",-0.9210480660701517,83,108,125,166,0.6159342284284597,0.6934622619918258,0.6030013117775704,0.5246917315892481,-0.3566407214615665,0.8071068828413207,-0.4418754554614336,0.9782114912237584,0.9952090577617755,0.9983682592201413,0.9998920980628981,0.9995,0.20382896613597157,18.439814520452313,0.5624960394097506,0.6197472680763807,0.5784204742095737,0.47660796728581295,-0.29894897456294994,0.8629290913682486,-0.34643515620610327,0.8767795916615586,0.9460602078313971,0.9701586862782069,0.993383181964515,0.984,0.21792645841780522,19.58154195016222
A_mu-0.40,"A  effect size  (sd_delta=0.30, b~N(.4,.3), split 30/60, noise 1.2)",600,-0.4,0.3,0.0,1.2,30,60,1.2,0.975,32.967995396436066,8.583966244725739,16.80759493670886,"{'': 1185, 'too_few_trials': 15}","{'weight': 0.33, 'choice': 0.29, 'null': 0.24, 'both': 0.15}",-1.4241108189982945,85,110,127,170,0.6406493275867269,0.6660491258770072,0.5795895665023894,0.5959317989205606,-0.5273926465633103,0.8213521813736484,-0.6421029352856732,0.9999500921689892,1.0,1.0,1.0,1.0,0.20576111126018604,18.5972484935374,0.5542889601179573,0.6353230290958727,0.6099747710588924,0.46733468384259486,-0.42699173102571,0.8477090649599677,-0.5037007962700909,0.9957337272723984,0.9994732639858513,0.9998800053109156,1.0,1.0,0.21236390818343337,19.132963774829026
B_sd0.15,B  heterogeneity of the mode effect  (mu_delta=-0.20),400,-0.2,0.15,0.0,1.2,30,60,1.2,0.97,18.12692469220182,8.591370558375635,16.861675126903553,"{'': 788, 'too_few_trials': 12}","{'choice': 0.3, 'weight': 0.29, 'null': 0.28, 'both': 0.14}",-1.2562506044382453,84,110,127,169,0.5927686162382938,0.6409753958578298,0.5856716169182462,0.5665047698173211,-0.29955353083888386,0.7451701910695898,-0.40199344314741814,0.9536583957801509,0.9867482899524228,0.9943855145765036,0.9993936313663168,0.9985,0.18667637350888416,17.02877902084017,0.5651295651522799,0.6159804102681269,0.5886835887363255,0.5084451983959202,-0.2991967275458668,0.8180375633871395,-0.3657493750128327,0.9119964000051639,0.9672650787403203,0.983422875073955,0.9971750431066235,0.994,0.20493074945464917,18.52962668642335
B_sd0.45,B  heterogeneity of the mode effect  (mu_delta=-0.20),400,-0.2,0.45,0.0,1.2,30,60,1.2,0.9725,18.12692469220182,8.561470215462611,16.85297845373891,"{'': 789, 'too_few_trials': 11}","{'weight': 0.32, 'null': 0.27, 'choice': 0.27, 'both': 0.15}",-0.3287840713174714,85,110,127,169,0.5964992127881448,0.8081896756462508,0.5613014955298233,0.6425575684536043,-0.22054998052444116,0.9292756202265404,-0.23733537792659953,0.5804895103190681,0.694014412005695,0.7562339750829936,0.8660070025658062,0.794,0.23279756068222718,20.768604721370398,0.5489538369276542,0.7560951653693928,0.5578078113858472,0.5597957975415089,-0.19667352941535074,0.9117549102327863,-0.21570876910894474,0.5024414917113178,0.6112112268022353,0.6745112230282908,0.7962183351129869,0.7,0.22840835853467448,20.420077793022173
C_bshift,"C  confound: mode effect on CHOICE BIAS only, w_d equal  (false-positive check)",400,0.0,0.3,0.3,1.2,30,60,1.2,0.9775,0.0,8.501896333754742,16.833122629582807,"{'': 791, 'too_few_trials': 9}","{'choice': 0.36, 'weight': 0.27, 'null': 0.25, 'both': 0.12}",0.11829074143377398,85,111,128,170,0.6531945507471096,0.7593719568349289,0.6039954842395919,0.6340401442346053,-0.21643628379852753,0.881974677733344,-0.24539965745361775,0.608965362419049,0.7266991928525085,0.7868003212725442,0.8890368859659994,0.83,0.22006980558504668,19.7537220376505,0.49446778310539213,0.7198722987246521,0.5322274372786542,0.5635954920961558,0.02976258737679771,0.838451364288211,0.03549709457753003,0.06207592169629772,0.06588859397665722,0.06838954830080826,0.0745946116462232,0.0305,0.20920989387771383,18.877505337701972
D_split20_70,"D  Task-1 / Task-2 split, 90 trials per angle  (mu_delta=-0.20)",400,-0.2,0.3,0.0,1.2,20,70,1.2,0.9825,18.12692469220182,5.664564943253468,19.542244640605297,"{'': 793, 'too_few_trials': 7}","{'null': 0.31, 'choice': 0.3, 'weight': 0.26, 'both': 0.13}",-0.5866033024722437,85,111,128,171,0.7084595667787501,0.6251691277130406,0.5871728673819047,0.4983923162264838,-0.30966269075684183,0.9207502330503224,-0.33631562571640167,0.8654366062288578,0.9396974703759357,0.9653213907978794,0.99208823099434,0.9905,0.22974505946193818,20.52638128501134,0.6028629139396632,0.551167808079885,0.5490917833420071,0.40619871682563596,-0.1690831047894362,0.8748768982611391,-0.19326502405709556,0.42141615797712195,0.5233257528222393,0.5831941982661963,0.7098736975137475,0.613,0.2182987718037277,19.61147724556802
D_split45_45,"D  Task-1 / Task-2 split, 90 trials per angle  (mu_delta=-0.20)",400,-0.2,0.3,0.0,1.2,45,45,1.2,0.9575,18.12692469220182,12.817369093231163,12.786717752234994,"{'': 783, 'too_few_trials': 17}","{'null': 0.34, 'choice': 0.29, 'weight': 0.27, 'both': 0.1}",-0.6282848330902383,83,108,125,167,0.6728881948679917,0.7043568029836554,0.5963855663340716,0.5878920271688994,-0.2852062571232987,0.8615557489188558,-0.3310363345392295,0.8462354234849249,0.9263630005067792,0.9565812062275496,0.9890787004612959,0.9835,0.217579630782505,19.553645769218697,0.676371134996437,0.618979428133315,0.6398394020829485,0.415420576859574,-0.25475994694098236,0.9804989476105211,-0.2598268438347977,0.6478045971658603,0.7629838282260212,0.8218457271894837,0.9159370622858937,0.8595,0.24761786950112344,21.93418004047494
E_noise0.8,E  rating noise SD on the 9-point scale  (mu_delta=-0.20),400,-0.2,0.3,0.0,0.8,30,60,1.2,0.9875,18.12692469220182,8.549685534591195,16.835220125786165,"{'': 795, 'too_few_trials': 5}","{'weight': 0.31, 'choice': 0.27, 'both': 0.25, 'null': 0.17}",-0.6825903536675804,86,112,129,172,0.5959943158131018,0.6926204596175026,0.5308007423106731,0.5942548116244174,-0.2554473890599461,0.7608473381234101,-0.33574066210180037,0.8682599049901915,0.9408883101760165,0.9659657903549518,0.9922050428136759,0.9845,0.18909759266584475,17.229427525527797,0.5105972625748246,0.6760627771339623,0.490895646832836,0.5695624605225016,-0.18490340367428484,0.7614442278911508,-0.24283249764251538,0.6050781789260486,0.7216173574804229,0.7815206355740884,0.8862490266466744,0.826,0.18924594097766909,17.241705489492986
E_noise1.6,E  rating noise SD on the 9-point scale  (mu_delta=-0.20),400,-0.2,0.3,0.0,1.6,30,60,1.2,0.955,18.12692469220182,8.607416879795396,16.77237851662404,"{'': 782, 'too_few_trials': 18}","{'null': 0.39, 'choice': 0.3, 'weight': 0.26, 'both': 0.06}",-0.6995090840269846,83,108,125,166,0.6978729565916998,0.6487623083941014,0.7458677663613951,0.511236309284987,-0.2005833942298773,0.942258621777265,-0.2128750956415149,0.48277891605115986,0.5919077508844809,0.6560135733889961,0.7783843330070022,0.688,0.2379605536672456,21.176621658736384,0.6778278118550284,0.5973541348304329,0.6769782528457413,0.5216293312608672,-0.1816486050812072,0.9968905339309786,-0.18221519705370576,0.374892073304426,0.46685545558944036,0.5245426267045122,0.6458188112144192,0.5225,0.2517574452674278,22.25667146758783
F_boost0.5,"F  evidence boost, logit(prop) for the high sample  (mu_delta=-0.20; task default 1.2)",400,-0.2,0.3,0.0,1.2,30,60,0.5,1.0,18.12692469220182,8.605,17.15875,{'': 800},"{'choice': 0.35, 'weight': 0.28, 'null': 0.24, 'both': 0.12}",-0.7000062256490237,87,113,130,174,0.8898336212386542,0.5686554842723079,0.8761619176423736,0.4721482606298239,-0.31088421433515934,1.0979053013712265,-0.2831612288845688,0.742670164325844,0.8471237913657081,0.8933318921737454,0.9603168668299479,0.9365,0.2718009326856267,23.799406353215925,0.7472312308691827,0.5007184045713442,0.6686203997285264,0.42722849151764425,-0.21311401639644909,0.9881216346381262,-0.21567589345870009,0.5117014938125652,0.6228750404948936,0.6846681644488504,0.8076235967836817,0.702,0.24462253854322033,21.699996519712627
F_boost0.8,"F  evidence boost, logit(prop) for the high sample  (mu_delta=-0.20; task default 1.2)",400,-0.2,0.3,0.0,1.2,30,60,0.8,0.985,18.12692469220182,8.580604534005039,16.955919395465994,"{'': 794, 'too_few_trials': 6}","{'weight': 0.36, 'choice': 0.29, 'null': 0.23, 'both': 0.12}",-0.6710534524984896,86,111,129,171,0.7584442321790232,0.6922576285075891,0.7221254153968236,0.5401135192651121,-0.318076986844165,0.9895572989213033,-0.321433622076149,0.8381909372463325,0.9187687689198645,0.9518731985337946,0.9867725092886609,0.981,0.24594014285764998,21.8030970043805,0.6406764273179097,0.6158040547461024,0.6012092413860746,0.5005369346814491,-0.2554531687802826,0.903617020716009,-0.28270070497107985,0.7363000954900565,0.8394924222110792,0.890035516475092,0.9569065111657672,0.934,0.22458093069067755,20.114907747320476
